t_s,torque_cmd_nm,torque_em_nm,copper_loss_w,core_loss_w,magnet_loss_w,total_loss_w,temp_c,phase_res_ohm
9.799999999999999684e-03,1.849135753658865511e+01,1.845467703583700114e+01,1.235343124694427708e+01,1.408053337089991828e+03,2.357574845957095476e+03,3.777981614294031715e+03,2.501422441071755287e+01,2.349289841771492679e-02
9.900000000000000813e-03,1.849634562732168419e+01,1.845967726681515941e+01,1.236013331473383836e+01,1.408188420330687222e+03,2.357911227328405857e+03,3.778459780973827037e+03,2.501436973487798099e+01,2.349291157412364967e-02
1.000000000000000021e-02,1.850133293425721703e+01,1.846467594690820491e+01,1.236683512725052481e+01,1.408323501607157823e+03,2.358247622021185180e+03,3.778937958755593627e+03,2.501451507741744251e+01,2.349292473219642685e-02
1.010000000000000134e-02,1.850631944951961572e+01,1.846967316722157548e+01,1.237353680487816199e+01,1.408458581364381189e+03,2.358584030768205139e+03,3.779416148937464641e+03,2.501466043833641351e+01,2.349293789193329651e-02
1.020000000000000073e-02,1.851130516523449288e+01,1.847466900698312386e+01,1.238023845221461627e+01,1.408593659987802312e+03,2.358920454202679593e+03,3.779894352642696504e+03,2.501480581763540911e+01,2.349295105333429334e-02
1.030000000000000013e-02,1.851629007352872591e+01,1.847966353496859426e+01,1.238694015996118125e+01,1.408728737810469966e+03,2.359256892870189404e+03,3.780372570840620483e+03,2.501495121531498711e+01,2.349296421639947285e-02
1.040000000000000126e-02,1.852127416653045699e+01,1.848465681075601807e+01,1.239364200658558524e+01,1.408863815119327001e+03,2.359593347239197556e+03,3.780850804365109980e+03,2.501509663137573369e+01,2.349297738112888709e-02
1.050000000000000065e-02,1.852625743636912858e+01,1.848964888582959176e+01,1.240034405978593846e+01,1.408998892160726882e+03,2.359929817710271891e+03,3.781329053930784539e+03,2.501524206581826704e+01,2.349299054752258462e-02
1.060000000000000005e-02,1.853123987517547633e+01,1.849463980455109890e+01,1.240704637777930763e+01,1.409133969145306992e+03,2.360266304624232362e+03,3.781807320147318933e+03,2.501538751864322307e+01,2.349300371558062095e-02
1.070000000000000118e-02,1.853622147508155038e+01,1.849962960501475351e+01,1.241374901043604240e+01,1.409269046252272574e+03,2.360602808269308298e+03,3.782285603532016921e+03,2.501553298985126261e+01,2.349301688530305507e-02
1.080000000000000057e-02,1.854120222822072250e+01,1.850461831979946581e+01,1.242045200027821039e+01,1.409404123633159543e+03,2.360939328887434840e+03,3.782763904520872529e+03,2.501567847944306067e+01,2.349303005668995289e-02
1.089999999999999997e-02,1.854618212672770028e+01,1.850960597663085849e+01,1.242715538335847469e+01,1.409539201415155503e+03,2.361275866679805404e+03,3.783242223478319374e+03,2.501582398741930646e+01,2.349304322974136647e-02
1.100000000000000110e-02,1.855116116273855198e+01,1.851459259896378029e+01,1.243385919003374696e+01,1.409674279704015589e+03,2.361612421811740660e+03,3.783720560705789921e+03,2.501596951378070344e+01,2.349305640445736171e-02
1.110000000000000049e-02,1.855613932839069591e+01,1.851957820649500874e+01,1.244056344564615912e+01,1.409809358586636336e+03,2.361948994416998175e+03,3.784198916449280659e+03,2.501611505852795858e+01,2.349306958083800106e-02
1.119999999999999989e-02,1.856111661582292882e+01,1.852456281561435958e+01,1.244726817112254302e+01,1.409944438133312360e+03,2.362285584601547271e+03,3.784677290905981863e+03,2.501626062166179310e+01,2.349308275888335046e-02
1.130000000000000102e-02,1.856609301717543303e+01,1.852954643980168825e+01,1.245397338350202077e+01,1.410079518399727021e+03,2.362622192446892313e+03,3.785155684230121551e+03,2.501640620318292818e+01,2.349309593859347234e-02
1.140000000000000041e-02,1.857106852458979418e+01,1.853452908997626380e+01,1.246067909640054161e+01,1.410214599428702968e+03,2.362958818013001292e+03,3.785634096538105041e+03,2.501655180309209214e+01,2.349310911996843262e-02
1.149999999999999981e-02,1.857604313020900832e+01,1.853951077480419229e+01,1.246738532041968028e+01,1.410349681251746460e+03,2.363295461340896509e+03,3.786112527913062877e+03,2.501669742139002039e+01,2.349312230300830071e-02
1.160000000000000094e-02,1.858101682617749262e+01,1.854449150096898791e+01,1.247409206350654998e+01,1.410484763890399336e+03,2.363632122454901946e+03,3.786590978408808041e+03,2.501684305807744479e+01,2.349313548771314250e-02
1.170000000000000033e-02,1.858598960464109950e+01,1.854947127340964386e+01,1.248079933127057828e+01,1.410619847357439085e+03,2.363968801364664614e+03,3.787069448053374344e+03,2.501698871315510075e+01,2.349314867408302393e-02
1.179999999999999973e-02,1.859096145774713449e+01,1.855445009553013946e+01,1.248750712726237033e+01,1.410754931657918405e+03,2.364305498066883047e+03,3.787547936852063685e+03,2.501713438662372369e+01,2.349316186211800744e-02
1.190000000000000085e-02,1.859593237764436324e+01,1.855942796938384731e+01,1.249421545321917471e+01,1.410890016790104028e+03,2.364642212546882547e+03,3.788026444790205460e+03,2.501728007848404545e+01,2.349317505181816590e-02
1.200000000000000025e-02,1.860090235648302937e+01,1.856440489583575015e+01,1.250092430928093101e+01,1.411025102746277526e+03,2.364978944779953508e+03,3.788504971835512151e+03,2.501742578873680145e+01,2.349318824318355481e-02
1.210000000000000138e-02,1.860587138641485083e+01,1.856938087470524223e+01,1.250763369418051418e+01,1.411160189513460637e+03,2.365315694732566499e+03,3.788983517940207548e+03,2.501757151738272356e+01,2.349320143621425744e-02
1.220000000000000077e-02,1.861083945959305197e+01,1.857435590489177812e+01,1.251434360541107971e+01,1.411295277074038495e+03,2.365652462363409541e+03,3.789462083042859376e+03,2.501771726442254007e+01,2.349321463091032583e-02
1.230000000000000017e-02,1.861580656817237056e+01,1.857932998448544737e+01,1.252105403937352435e+01,1.411430365406321016e+03,2.365989247624336258e+03,3.789940667070030941e+03,2.501786302985697574e+01,2.349322782727183284e-02
1.240000000000000130e-02,1.862077270430906495e+01,1.858430311086428333e+01,1.252776499150614420e+01,1.411565454485025384e+03,2.366326050461165778e+03,3.790419269937697209e+03,2.501800881368675888e+01,2.349324102529884092e-02
